Object Number,RA,DEC,PS1 MAG,INST MAG (R=9),OFFSET
1409,13:11:03.5490,-21:43:44.643,15.87,-11.0724,26.9424
996,13:11:22.3073,-21:50:21.982,15.90,-11.0359,26.9359
1419,13:11:26.8969,-21:42:55.345,15.22,-11.7206,26.9406
1027,13:11:39.1839,-21:43:57.968,15.27,-11.6918,26.9618
1414,13:11:20.3343,-21:45:03.521,15.73,-11.1734,26.9034
967,13:11:48.1520,-21:51:10.279,15.73,-11.2270,26.957
1459,13:10:30.5809,-21:41:11.455,15.55,-11.3761,26.9261
1481,13:11:14.8452,-21:38:30.779,15.28,-11.6640,26.944
1534,13:10:13.7551,-21:41:44.431,15.54,-11.4798,27.0198
990,13:11:06.8026,-21:52:49.911,15.00,-11.9168,26.9168
,,,,ZERO POINT,26.9415
,,,,ERROR,0.03164689909